noise_1_channel	noise_2_channel	noise_3_channel	noise_4_channel	amp_channel	trig_channel
-32767	-18	-18	-19	28	10090
30136	1	-18	-19	47	1059
-32767	1	-18	-19	28	9373
32767	-18	-18	-19	9	3057
-32767	-18	-18	-19	47	6526
32767	-18	-18	-19	28	6168
-32767	-18	-37	-19	28	3811
7964	1	1	-19	28	8393
-8472	1	-18	-19	28	2096
-22776	1	-18	-19	28	9694
17720	1	1	-19	47	1115
-32767	1	1	-19	47	10090
32767	1	1	-19	65	1775
-32767	1	1	-19	47	8110
32767	1	-18	-19	28	4528
-32767	1	-18	-19	28	5018
22532	1	-18	-19	47	7394
-21624	1	-18	-19	28	2869
-7472	1	1	-19	28	9147
4548	1	-18	-19	28	1549
-32767	1	-18	-19	47	10052
29872	1	-18	-19	47	1078
-32767	1	1	-19	9	9373
32767	1	-18	-19	47	2925
-32767	-18	-18	-19	28	6545
32767	-18	-18	-19	-10	6149
-32767	-18	-18	-19	65	3811
8171	-18	-18	-19	28	8355
-8812	-18	-18	-19	28	2077
-22474	-18	1	-19	28	9675
17418	1	-18	-19	47	1153
-32767	-18	-18	-19	28	10071
32767	-18	-18	-19	28	1719
-32767	1	-18	-19	28	8129
32767	1	-18	-19	47	4584
-32767	1	-18	-19	47	5037
22607	-18	1	-19	84	7412
-21643	-18	-18	-19	65	2850
-7528	-18	-37	-19	47	9147
4473	1	-18	-19	9	1549
-32767	1	-18	-19	28	10033
30023	1	1	-19	47	1078
-32767	1	-18	-19	65	9449
32767	1	-18	-19	28	3076
-32767	1	-18	-19	65	6545
32767	-18	1	-19	28	6112
-32767	1	-18	-19	28	3774
7888	1	-18	-19	47	8412
-8264	1	-18	-19	65	2096
-22927	1	-18	-19	28	9694
17852	1	-18	-19	47	1134
-32767	-18	1	-19	65	10090
32767	1	-18	-19	47	1756
-32767	1	1	0	28	8053
32767	-18	-18	-19	47	4641
-32767	1	-18	-19	28	5056
22249	-18	-18	-19	28	7469
-21492	1	1	-19	47	2850
-7755	1	-18	-19	84	9128
4964	1	-18	-19	47	1530
-32767	1	-18	-19	47	10090
