noise_1_channel,noise_2_channel,noise_3_channel,noise_4_channel,amp_channel,trig_channel
11096,1,19,-19,28,1172
-32767,1,-18,0,28,10203
32767,1,1,0,9,1285
-32767,1,1,0,28,8695
32767,-18,1,0,47,3925
-32767,-18,1,0,47,5489
28891,-18,1,-19,28,7130
-28908,-18,-18,-19,28,3057
57,-18,1,-19,28,8977
-2301,1,-18,-19,28,1606
-29890,-18,1,-19,28,10014
24173,1,1,0,47,965
-32767,-18,1,0,47,9788
32767,-18,1,-19,47,2303
-32767,-18,19,-19,28,7149
32767,-18,1,0,28,5621
-32767,-18,-18,0,-10,4094
15418,-18,1,-19,28,8148
-15888,-18,1,-19,65,2190
-15869,-18,1,-19,47,9599
10870,-18,1,-19,9,1153
-32767,-18,19,0,28,10184
32767,1,1,-19,-10,1266
-32767,-18,1,-19,9,8732
32767,-18,1,-19,47,4019
-32767,-18,-18,-19,28,5471
28740,-18,1,-19,9,7017
-28795,1,-18,-19,28,2963
-301,-18,1,-19,28,8996
-2169,-18,1,-19,28,1624
-30135,-18,1,-19,28,9995
24400,1,1,0,28,965
-32767,-18,1,-19,47,9826
32767,-18,-18,-19,47,2360
-32767,1,1,-19,9,7054
32767,-18,1,-19,28,5603
-32767,1,1,-19,28,4113
15304,-18,1,-19,47,8280
-15794,-18,1,-19,28,2209
-15794,-18,1,-19,9,9581
11077,-18,1,-19,47,1172
-32767,-18,1,-19,47,10203
32767,-18,-18,-19,47,1285
-32767,-18,-18,-19,28,8695
32767,-18,-18,-19,47,4019
-32767,-18,1,0,47,5508
28759,-18,-18,-19,47,7130
-28871,1,1,0,47,3001
-150,1,1,-19,28,8996
-2358,1,1,0,47,1624
-30003,1,1,-19,9,10033
24230,1,1,-19,28,927
-32767,1,1,-19,28,9807
32767,1,1,-19,28,2416
-32767,-18,1,-19,28,7167
32767,-18,1,-19,9,5659
-32767,1,1,-19,9,4075
15153,-18,1,-19,28,8204
-15794,1,-18,0,28,2228
-15699,-18,1,-19,-10,9599
11191,-18,-18,-19,47,1153
-32767,-18,1,0,47,10184
32767,-18,1,-19,65,1360
-32767,1,1,-19,47,8695
32767,1,-18,-19,47,3925
-32767,-18,1,0,9,5395
28664,-18,-18,-19,28,7073
-28569,-18,-18,-19,9,3020
-245,-18,1,-19,-10,9015
-2151,1,-18,-19,9,1606
-30248,-18,-18,-19,9,9995
24607,1,1,0,28,983
-32767,-18,1,-19,47,9788
32767,-18,1,-19,9,2360
-32767,-18,-18,-19,9,7092
32767,-18,-18,0,28,5716
-32767,1,1,0,9,4038
14984,-18,1,-19,28,8185
-15794,1,1,-19,28,2209
-16001,-18,1,-19,47,9599
11417,-18,-18,0,28,1191
-32767,1,-18,0,47,10203
32767,-18,-18,-19,47,1285
-32767,-18,1,0,28,8676
32767,-18,-18,0,28,4000
-32767,-18,1,-19,28,5452
28683,-18,1,-19,28,7073
-28757,-18,-18,0,9,3001
-245,-18,1,-19,28,9053
-2188,1,1,-19,9,1606
-30135,-18,-18,-19,9,9977
24305,-18,1,-19,9,983
-32767,1,-18,-19,28,9863
32767,-18,-18,-19,65,2492
-32767,-18,1,-19,47,7167
32767,-18,-18,-19,65,5565
-32767,-18,1,-19,47,4113
15191,-18,1,-19,28,8223
-15869,-18,1,-19,65,2228
-15775,-18,1,-19,65,9618
11096,-18,-18,0,47,1153
-32767,-18,-18,-19,47,10240
32767,-18,1,-19,47,1304
-32767,1,1,0,9,8676
32767,-18,1,0,9,3943
-32767,-18,1,-19,28,5489
28796,-18,-18,0,28,7111
-28927,-18,-18,0,84,3020
1,1,1,-19,28,8958
-2415,-18,1,-19,47,1606
-29927,-18,1,0,28,10033
23909,-18,1,-19,28,946
-32767,1,-18,-19,47,9788
32767,-18,1,0,47,2360
-32767,-18,1,-19,47,7130
32767,-18,1,-19,28,5640
-32767,-18,-18,0,28,4094
15455,-18,-18,0,28,8204
-16171,-18,1,0,28,2228
-15567,-18,-18,0,47,9618
10926,1,-18,0,28,1210
-32767,-18,1,-19,28,10184
32767,1,1,0,-10,1304
-32767,-18,-18,0,9,8770
32767,1,1,-19,65,3981
-32767,-18,1,-19,47,5471
28796,-18,1,-19,28,7054
-28946,-18,1,-19,28,3020
38,-18,1,-19,9,9015
-2471,1,-18,-19,9,1606
-29984,-18,-18,-19,-10,9995
24117,-18,1,-19,47,946
-32767,-18,1,-19,28,9882
32767,-18,-18,-19,28,2322
-32767,1,-18,-19,28,7092
32767,-18,-18,-19,47,5621
-32767,1,1,-19,9,4132
15285,-18,-18,0,28,8204
-15963,-18,1,-19,28,2228
-15775,-18,1,0,9,9581
10908,1,1,0,-10,1153
-32767,-18,1,-19,47,10184
32767,-18,1,-19,28,1285
-32767,1,1,0,28,8638
32767,1,1,0,47,4038
-32767,-18,1,-19,28,5489
28664,1,1,-19,47,7054
-28739,-18,1,-19,-10,3001
-245,-18,1,0,47,9015
-2339,-18,1,-19,-10,1643
-30041,-18,1,-19,28,10052
24136,-18,1,-19,28,965
-32767,-18,1,0,28,9807
32767,1,-18,0,47,2397
-32767,1,1,-19,28,7092
32767,-18,1,-19,9,5621
-32767,1,1,-19,47,4075
15267,-18,1,-19,28,8242
-15812,1,1,-19,9,2228
-15662,-18,1,-19,47,9599
10870,-18,-18,0,28,1172
-32767,-18,-18,-19,28,10222
32767,1,1,0,9,1379
-32767,1,1,0,9,8713
32767,-18,1,-19,28,3887
-32767,-18,1,-19,9,5471
28910,-18,1,-19,28,7073
-29040,-18,1,-19,28,3020
171,-18,1,0,47,8977
-2717,-18,-18,0,28,1643
-29682,-18,1,0,9,9977
23928,-18,1,0,28,927
-32767,-18,1,0,9,9826
32767,-18,1,0,9,2341
-32767,-18,1,0,9,7149
32767,-18,-18,-19,9,5640
-32767,-18,1,0,47,4113
15606,-18,-18,-19,9,8129
-16058,-18,-18,-19,28,2209
-15360,-18,1,0,28,9581
10851,-18,1,0,47,1172
-32767,-18,1,-19,28,10184
32767,-18,-18,0,28,1285
-32767,-18,1,-19,9,8751
32767,-18,1,0,28,3981
-32767,-18,-18,0,9,5546
29306,-18,-18,-19,-10,6979
-29342,1,1,-19,47,3038
680,-18,1,0,-10,9015
-3000,-18,1,-19,28,1662
-29380,-18,1,-19,47,9995
