noise_1_channel	noise_2_channel	noise_3_channel	noise_4_channel	amp_channel	trig_channel
-19436	-18	-18	-19	47	2435
-32767	1	1	-19	47	6847
-32767	-18	-18	-19	28	10259
12889	-18	1	-19	47	8412
32767	-18	1	-19	28	3453
13229	-18	-18	-19	65	1115
-31663	1	-18	-19	28	3340
-32767	-18	1	-19	28	8487
-25191	1	1	-19	47	9977
26683	1	1	-19	47	7299
32767	1	-18	-19	28	1888
-18	1	1	0	9	1568
-32767	-18	1	0	28	4528
-32767	-18	-18	-19	47	9731
-10302	1	-18	-19	9	9449
32767	1	-18	0	65	5904
31759	-18	-18	-19	84	1115
-13039	-18	1	-19	-10	2077
-32767	-18	-18	-19	28	5998
-32767	-18	-18	-19	65	10222
5209	1	-18	-19	65	8826
32767	1	-18	-19	47	4226
19644	-18	-18	-19	28	927
-25493	1	-18	-19	28	2850
-32767	1	-18	-19	47	7639
-31739	-18	-18	-19	9	10090
19909	1	-18	-19	47	7922
32767	-18	1	-19	47	2643
6794	1	-18	-19	47	1285
-32767	1	-18	-19	47	3887
-32767	-18	-18	-19	28	9128
-18039	-18	-18	0	47	9713
32344	1	-18	-19	47	6677
32767	1	-18	-19	28	1398
-6302	1	1	-19	28	1794
-32767	1	-18	-19	47	5225
-32767	-18	-18	-19	47	10090
-2547	1	-18	-19	65	9147
32767	1	-18	-19	28	5037
26004	20	1	-19	28	946
-19247	1	1	-19	47	2435
-32767	1	-18	-19	28	6809
-32767	-18	1	-19	28	10222
12776	-18	1	-19	47	8412
32767	-18	1	-38	47	3378
13361	1	-18	-19	28	1097
-31701	1	-18	-19	9	3340
-32767	1	-18	-19	47	8449
-25021	1	-18	-19	47	9958
26815	1	-18	-38	65	7318
32767	1	-18	-19	47	1926
20	1	1	-19	47	1530
-32767	1	1	-19	47	4528
-32767	1	1	-19	65	9731
-9925	-18	1	-19	47	9467
32767	1	1	-19	47	5848
31552	-18	1	-19	47	1059
-13208	1	-18	-19	65	2115
-32767	1	1	-19	47	6036
-32767	-18	1	-19	47	10222
5737	1	1	-19	9	8789
32767	-18	1	-19	65	4170
19210	-18	1	0	47	1021
-25965	1	-18	0	47	2888
-32767	1	-18	0	47	7714
-31418	1	1	-19	65	10127
20380	1	1	-19	9	7884
32767	1	1	-19	28	2492
6190	-18	1	-19	65	1304
-32767	1	-18	-19	47	3906
-32767	1	-18	-19	47	9185
-17247	1	-18	-19	65	9713
32767	1	-18	-19	47	6583
32767	1	-18	-19	65	1379
-7208	1	-18	-19	65	1813
-32767	1	-18	-19	47	5339
-32767	1	1	-19	28	10090
-1622	-18	-18	-19	28	9128
32767	-18	-18	-19	28	5018
25381	-18	-18	-19	28	946
-20115	1	-18	-19	28	2492
-32767	1	1	-19	28	6922
-32767	1	1	0	47	10203
13908	1	1	-19	47	8355
32767	1	1	-19	28	3246
12229	1	-18	-19	65	1153
-32475	1	-18	-19	28	3416
-32767	-18	1	-19	28	8563
-24247	1	1	-19	28	9901
27438	-18	-18	-19	28	7262
32767	1	-37	-19	9	1813
-716	-18	-18	-19	47	1568
-32767	1	-18	-19	28	4603
-32767	1	-18	-19	28	9769
-9227	1	-18	-19	65	9430
32767	1	-18	-19	9	5866
31061	1	-18	-19	47	1040
-13888	1	1	-19	9	2115
-32767	-18	1	0	47	6130
-32767	1	-18	-19	47	10222
6473	1	-18	-19	28	8808
32767	1	-18	-19	47	4113
18663	-18	-18	-19	47	946
-26380	1	-18	-19	47	2963
-32767	-18	-18	-19	47	7771
-30776	1	-18	-19	65	10071
21041	1	1	-19	47	7827
32767	1	-18	-19	65	2511
5699	1	1	-19	47	1304
-32767	1	-18	-19	65	4000
-32767	1	1	-19	65	9260
-16718	1	1	-19	47	9713
32767	1	1	-19	47	6602
32767	1	1	-19	47	1285
-7321	1	-18	-19	47	1794
-32767	1	1	-19	47	5376
-32767	1	1	-19	28	10090
-1245	1	-18	-19	28	9147
32767	1	1	-19	47	5018
25022	1	1	-19	47	927
-20190	-18	1	-19	47	2492
-32767	20	1	-19	65	6941
-32767	1	-18	-19	47	10184
13776	1	1	-19	65	8317
32767	1	1	-19	47	3321
12663	20	1	0	47	1115
-32211	1	-18	-19	47	3378
-32767	1	-18	-19	47	8544
-24380	-18	-18	-19	28	9920
27400	1	-18	-19	47	7262
32767	-18	1	-19	28	1794
-660	1	-18	-19	28	1511
-32767	1	-18	-19	47	4641
-32767	1	-18	-19	28	9769
-9302	-18	-18	-19	9	9430
32767	-18	-37	-19	65	5848
31174	1	-18	-19	28	1040
-13642	-18	-18	0	28	2115
-32767	-18	-18	-19	28	6112
-32767	-18	-18	-19	28	10240
6077	1	1	-19	28	8751
32767	1	1	0	47	4245
19022	1	1	0	28	965
-26229	-18	1	-19	47	2888
